product_name,core_terms,brand,stop_words,itemid,main_cat,weekly_orders
PAKET BAJU KAULITAS TERBAIK DAN TERMURAH,BAJU,,,45795775,33,49
Supplier terbesar termurah baju full print 3d thailand thai man fashion fullprint 3dimensi import,baju,,,73552382,33,10
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"HITAM, POLOS, M, L, XL",113930016,33,58
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"HITAM, M, L, XL",113930016,33,41
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"HITAM, M, L, XL",113930016,33,35
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"POLOS, HITAM KELAM",113930016,33,29
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"POLOS, HITAM KELAM",113930016,33,29
KGK Kemeja pria batik songket lengan panjang navy 4393,batik,,pria,61470252,33,21
KEMEJA - BATIK PRIA TERLARIS,BATIK,,PRIA,17887688,33,20
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"HITAM, POLOS",113930016,33,18
BATIK PRIA HEM KEMEJA BIRU MOTIF SONGKET SETAN READY M L XL JUMBO BIG SIZE KAIN,BATIK,,PRIA,85929077,33,18
KGK Kemeja pria hitam batik songket lengan panjang baju cowok kerja kantor 4216,batik,,"pria, hitam",100194477,33,18
BATIK PRIA MOTIF IKEH MERAH READY ECER GROSIR SERAGAM BATIK M L XL BIG SIZE XXL JUMBO DAN KAIN,BATIK,,"PRIA, MERAH",130075265,33,18
BATIK PRIA HEM KEMEJA BIRU MOTIF SONGKET SETAN READY M L XL JUMBO BIG SIZE KAIN,BATIK,,"PRIA, BIRU",85929077,33,18
Batik Hitam putih monochrome,Batik,,"Hitam putih, monochrome",61200862,33,17
BATIK MERAH BATIK PRIA MODERN KOMBINASI POLOS HITAM READY M L XL JUMBO DAN KAIN BATIK SERAGAM ECER,BATIK,,"MERAH, PRIA, POLOS, HITAM, M L XL",130077783,33,17
PROMO BATIK MOTIF BLOK SEKAR BATIK MODERN KEREN,BATIK,,BLOK SEKAR,70017225,33,16
Baju batik kemeja pria slimfit OB 345 dan OB 346,batik,,"pria, slimfit",135703423,33,15
BATIK PRIA HITAM PUTIH MONOCHROME BATAK READY M SAMPAI XXL JUMBO BIG SIZE KAIN BATIK,BATIK,,"PRIA, HITAM PUTIH, M, XXL ",70010444,33,14
BATIK PRIA MOTIF IKEH MERAH READY ECER GROSIR SERAGAM BATIK M L XL BIG SIZE XXL JUMBO DAN KAIN,BATIK,,"PRIA, MERAH, M L XL BIG SIZE XXL",130075265,33,13
Batik Hitam putih monochrome,Batik,,"Hitam putih, monochrome",61200862,33,12
BAJU BATIK MERAH MOTIF JLAMPRANG READY BAJU M L XL JUMBO DAN KAIN,BATIK,,"MERAH, M L XL",61200870,33,11
Batik Hitam putih monochrome,Batik,,Hitam putih,61200862,33,11
BATIK HITAM KOMBI POLOS MOTIF HITAM KELAM TERSEDIA M L XL JUMBO DAN KAIN,BATIK,,"HITAM, POLOS, HITAM KELAM, M L XL",113930016,33,11
BATIK HIJAU BIRU TOSCA TOSKA READY ECER SERAGAM GROSIR SIZE M L XL JUMBO DAN KAIN,BATIK,,"HIJAU BIRU TOSCA, M L XL",61200897,33,10
Batik Palagan Tosca toska Grosir Seragam ecer ready baju M L XL Jumbo dan Kain lembaran,Batik,,"Palagan, Tosca, M L XL",70194049,33,10
A0624C Batik Oredo Tato batik kombinasi polos dan sablon ready baju M L XL dan kain batik,Batik,,"polos, M L XL,",61200855,33,9
PROMO BATIK KOMBINASI POLOS HITAM MOTIF KIMOCHI KIMOCI READY M L XL,BATIK,,"POLOS, HITAM, M L XL",89266673,33,9
Batik Hitam putih monochrome,Batik,,Hitam putih,61200862,33,9
PROMO BATIK MOTIF BLOK SEKAR BATIK MODERN KEREN,BATIK,,BLOK SEKAR,70017225,33,9
BATIK HIJAU BIRU TOSCA TOSKA READY ECER SERAGAM GROSIR SIZE M L XL JUMBO DAN KAIN,BATIK,,"HIJAU BIRU TOSCA, M L XL",61200897,33,8
Kemeja batik fashion [kq 1000],batik,,fashion,90614961,33,8
KEMEJA - BATIK PRIA TERLARIS,BATIK,,PRIA,17887688,33,8
Kemeja Batik Slimfit OB 360 - Fashion .Premium,Batik,,Fashion,166184728,33,8
