product_name,core_terms,brand,stop_words
Adaptor micro sd,Adaptor MicroSD,,
"Anti Gores Universal Bening 7""",Anti Gores,,"bening, universal, 7"""
"Antigores Glare Universal 7""",Anti Gores,,"glare, universal, 7"""
Armband ukuran L,Armband,,ukuran
Usb Bluetooth Audio Music Receiver,Audio Receiver,,
Usb Bluetooth Audio Music Receiver,Audio Receiver,,
Baterai Nokia BL5C Original Cina,Baterai,Nokia,Cina
Baterai Nokia BL4C Original Cina,Baterai,Nokia,Cina
Baterai 18650 asli 1500 mah,Baterai,,"asli, 1500 mah"
Baterai J5 / Grand Prime /Baterai Batre Battery Samsung Original SEIN 100%,Baterai,Samsung,"original, sein, 100%"
BATERAI HIMAX POLYMER LI / baterai Himax polymer li original / HA-20B,Baterai,Himax,"polymer, original"
Baterai nokia ori99 bl5c,Baterai,Nokia,ori99
Bohlam USB 7 Watt 10 LED ( kabel 1 meter),Bohlam,,"7 watt, 1 meter"
Boneka import,Boneka,,import
Bumper 3D Karakter Campur,Bumper,,"3D, karakter, campur"
Bumper 3D campur,Bumper,,campur
Bumper miror luxury -bumper miror hardcase sliding- samsung & iphone & xiaomi,Bumper,,"miror, luxury, sliding"
Bumper Slide Mirror Metal All TYPE HANDPONE (List ada di deskripsi),Bumper,,"All, TYPE"
Bumper 3D Model Kancing,Bumper,,"3D, Model"
BUMPER RING SILICON UNIVERSAL HP,Bumper,,UNIVERSAL
Bumper HP 3D BONEKA Disney / Ring Case Kotak Karakter 3D Besar TEBAL,Bumper Case,,"3D, kotak, karakter, besar, tebal"
Home Button Touch ID Iphone,Button,,
Perapi Kabel Gulung/ Cable Winder Kartun Keren,Cable Winder,,"Keren, Gulung"
camera Sportcam Non Wifi / Action Cam / GoPro,Camera,,non
OTG Cardreader / Card Reader,Card Reader,,
USB OTG Card Reader Samsung Toshiba / Usb On The Go (Transfer Data),Card Reader,"Samsung, Toshiba","Transfer, Data"
"Ultrathin / Ultra Thin Case Samsung,Xiaomi,Iphone,Oppo,Asus,Lenovo,LG,Sony",Case,,"Ultrathin, Ultra, Thin"
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,case,,"Anti, crack, for"
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,Case,,"Anti, crack, for"
Diamond Case Flower+ Ring Diamond iPhone 5 6/ Oppo Neo 7 9 F1S F1 F1+/ Xiaomi Redmi Note 3/ Samsung,Case,,
VISEAON CASE XIAOMI REDMI NOTE 3 4 PRO / PRIME TEXTURE DRAW ANTI KNOCK SOFT BACK CASE,CASE,VISEAON,"TEXTURE, DRAW, ANTI, KNOCK, SOFT, BACK"
Universal Waterproof Case HP Anti Air / Camera WaterProof size Medium,Case,,"Universal. Waterproof, Anti, Air, size, Medium"
Diamond Case Flower+ Ring Diamond iPhone 5 6/ Oppo Neo 7 9 F1S F1 F1+/ Xiaomi Redmi Note 3/ Samsung,Case,,
Ultrathin Xiaomi Redmi Note 3 / PRO Ultra Thin Soft Back Case TPU SoftCase BackCase,Case,,"ultrathin, ultra, thin, soft, back"
SAMSUNG ALL TYPE MIROR CASE,Case,,"all, type, miror"
OPPO NEO 9 // A37 // CASE BONEKA,Case,,
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,Case,,"anti, crack"
Motomo case ALL TYPE HANDPHONE,Case,Motomo,"all, type"
Samsung j1 ace dan J1 (2016). Case boneka,Case,,
custom case foto suka suka photo,Case,,"custom, foto, suka"
CASE IPAKY 360 Full Protective Xiaomi Redmi 3S 3 S 3PRO 3 PRO HARDCASE Full Casing Cover,Case,Ipaky,"Full, protective"
Ultra Thin Xiaomi Redmi 3S 3PRO 3 PRO Ultrathin Soft Back Case TPU Cover,Case,,"Soft, back, TPU, cover, ultra, thin"
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,Case,,"anti, crack, for"
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,Case,,"anti, crack, for"
OPPO A33 neo 7 CASE BONEKA 3D SOFT,Case,,"3D, soft"
Case Viseaon Carbon Fiber Xiaomi Redmi 4 Soft Back Case Casing SoftCase BackCase,Case,Viseaon,"soft, back"
VISEAON SOFT BACK CASE XIAOMI REDMI 3S 3PRO 3 S PRO TEXTURE DRAW ANTI KNOCK,Case,Viseaon,"soft, back, texture, draw, anti, knock"
OPPO A33 neo 7 CASE BONEKA 3D SOFT,Case,,"3D, soft"
Case Spigen Iron Tough Armor Xiaomi Redmi Note 3 / PRO Hard Back Case Cover HardCase BackCase,Case,Spigen,"hard, back"
OPPO NEO 9 // A37 // CASE BONEKA,Case,,
Anti crack case for iphone 5/5s/se 6/6s 6+/6s+ 7 7+ oppo f1s samsung grand prime oppo f1plus,Case,,"anti, crack, for"
Waterproof case HP,Case,,Waterproof
VISEAON CASE XIAOMI REDMI NOTE 3 4 PRO / PRIME TEXTURE DRAW ANTI KNOCK SOFT BACK CASE,Case,Viseaon,"texture, draw, anti, knock, soft, back"
OPPO A33 neo 7 CASE BONEKA 3D SOFT,Case,,"3D, soft"
FRUIT CASE FOR IPHONE 4/4s/5/5s/6/6s/6s+/6+/ grand prime/,Case,,for
Samsung j1 ace dan J1 (2016). Case boneka,Case,,
FRUIT CASE FOR IPHONE 4/4s/5/5s/6/6s/6s+/6+/ grand prime/,Case,,for
OPPO NEO 9 // A37 // CASE BONEKA,Case,,
Glitter sticker Case for iphone 4/4s 5/5s/SE 6/6s 6+/6s+ samsung grand prime j5 oppo f1s,Case,,for
